Geneid,ENCSR181WYS_1,ENCSR181WYS_2,ENCSR016WFQ_1,ENCSR016WFQ_2
ENSG00000251215,2,0,4,0
ENSG00000113600,101,74,64,41
ENSG00000153071,862,910,640,411
ENSG00000271334,10,4,2,0
ENSG00000251515,12,0,0,0
ENSG00000250492,0,8,10,2
ENSG00000248651,0,0,0,0
ENSG00000250048,2,5,1,1
ENSG00000249668,0,0,0,0
ENSG00000250585,3,1,4,2
ENSG00000199361,0,0,0,0
ENSG00000283286,1,0,0,0
ENSG00000113638,1104,1319,1409,606
ENSG00000199552,0,1,1,0
ENSG00000171522,8,2,24,16
ENSG00000132356,3548,3977,4405,2731
ENSG00000212567,2,0,0,0
ENSG00000145592,26445,19926,28242,21400
ENSG00000212296,3,0,2,1
ENSG00000132357,898,960,1363,655
ENSG00000112936,24,11,28,24
ENSG00000253098,0,0,1,7
ENSG00000248120,0,0,0,4
ENSG00000171495,18,19,46,76
ENSG00000039537,18,12,21,12
ENSG00000182836,6,14,12,22
ENSG00000251478,0,1,14,2
ENSG00000083720,2566,2459,3501,1734
ENSG00000248668,166,172,171,140
ENSG00000240281,8,2,0,0
ENSG00000205765,4037,4962,4589,2578
ENSG00000151876,707,727,1137,721
ENSG00000239694,6,0,0,0
ENSG00000199487,0,0,0,0
ENSG00000249266,9,6,0,0
ENSG00000260786,4,2,0,8
ENSG00000112964,14,0,2,3
ENSG00000248873,12,19,14,8
ENSG00000250860,0,0,4,2
ENSG00000270513,0,0,0,0
ENSG00000198865,1169,1436,1148,806
ENSG00000250722,1446,1661,1347,775
ENSG00000272234,130,140,101,52
ENSG00000249092,0,7,4,6
ENSG00000251163,4,0,2,0
ENSG00000251656,0,2,3,0
ENSG00000249516,0,0,2,0
ENSG00000250711,5,0,0,0
ENSG00000271788,10,15,18,16
ENSG00000177738,243,206,244,245
ENSG00000251131,5,8,0,0
ENSG00000272382,6,4,22,2
ENSG00000177721,133,129,230,177
ENSG00000215068,281,328,467,358
ENSG00000272144,32,30,42,56
ENSG00000172262,3181,3806,3815,2378
ENSG00000278487,11,0,4,0
ENSG00000177453,21,21,72,22
ENSG00000249779,13,3,10,6
ENSG00000249888,0,1,0,0
ENSG00000247763,6,3,0,11
ENSG00000261604,1394,1693,1720,1273
ENSG00000112972,7341,8036,9044,5388
ENSG00000188850,2,3,0,4
ENSG00000151882,20,7,7,49
ENSG00000151881,716,830,911,781
ENSG00000249492,100,122,122,78
ENSG00000172244,673,748,754,386
ENSG00000249855,106,194,439,284
ENSG00000248554,10,17,17,17
ENSG00000248240,5,2,3,3
ENSG00000172239,6963,7303,7536,4593
ENSG00000248092,1538,1730,1886,1273
ENSG00000279557,28,12,19,18
ENSG00000249286,14,14,21,4
ENSG00000112992,7840,8669,11149,4883
ENSG00000224993,6,10,9,11
ENSG00000249276,0,2,0,0
ENSG00000212561,0,0,0,0
ENSG00000070193,6,2,16,0
ENSG00000248464,0,3,6,1
ENSG00000249203,6,0,2,0
ENSG00000250418,0,0,0,0
ENSG00000263556,0,2,0,0
ENSG00000251141,42,21,34,38
ENSG00000248779,2,0,0,4
ENSG00000112996,4074,4287,4043,2712
ENSG00000272335,240,318,372,262
ENSG00000248148,2,4,2,0
ENSG00000164588,7,11,17,12
ENSG00000250422,0,6,10,12
ENSG00000250017,0,0,0,0
ENSG00000250122,0,0,0,20
ENSG00000170571,33,9,11,7
ENSG00000271455,0,0,0,0
ENSG00000213956,2,0,5,4
ENSG00000271752,0,4,2,0
ENSG00000151883,3,7,7,14
ENSG00000249405,0,0,0,6
ENSG00000270830,0,0,0,0
ENSG00000251601,0,7,1,9
ENSG00000250360,4,41,20,22
ENSG00000251573,0,0,2,0
ENSG00000248918,2,0,2,0
ENSG00000207060,0,1,0,0
ENSG00000278734,0,0,8,0
ENSG00000206606,0,1,0,0
ENSG00000240627,1,4,0,0
ENSG00000259663,12,0,2,10
ENSG00000016082,2,7,9,18
ENSG00000249338,0,8,2,0
ENSG00000248891,0,0,0,0
ENSG00000251125,0,0,0,0
ENSG00000251873,0,0,0,0
ENSG00000249270,1,2,0,0
ENSG00000279470,0,0,0,0
ENSG00000248789,0,0,4,0
ENSG00000244621,0,7,2,0
ENSG00000250827,9,2,8,12
ENSG00000248898,27,6,0,0
ENSG00000213949,17,34,13,53
ENSG00000152684,1453,1545,1580,978
ENSG00000251237,1,0,0,0
ENSG00000241809,0,0,0,10
ENSG00000249899,7,2,3,0
ENSG00000164171,49,28,26,25
ENSG00000272123,1,2,3,12
ENSG00000164172,1820,1830,1986,1326
ENSG00000247796,222,201,229,212
ENSG00000213940,0,2,8,24
ENSG00000240052,0,1,2,1
ENSG00000134363,6,3,10,9
ENSG00000164258,1838,1615,1884,1149
ENSG00000250447,12,26,6,7
ENSG00000217791,0,0,0,2
ENSG00000272416,57,53,70,82
ENSG00000185305,3485,3851,4078,2234
ENSG00000222960,0,0,0,0
ENSG00000207627,0,1,0,0
ENSG00000241230,2,0,5,0
ENSG00000265421,0,0,0,0
ENSG00000279638,0,0,2,0
ENSG00000249069,393,451,551,452
ENSG00000251597,1,5,11,9
ENSG00000169271,63,44,44,22
ENSG00000178996,1109,1289,1331,662
ENSG00000280159,2,2,0,0
ENSG00000232517,20,2,8,2
ENSG00000226810,0,0,0,0
ENSG00000249843,0,0,2,0
ENSG00000249016,1,3,14,4
ENSG00000164283,2,0,0,0
ENSG00000240535,1,0,13,17
ENSG00000113088,0,0,4,0
ENSG00000207229,0,0,3,0
ENSG00000251376,4,4,4,0
ENSG00000248029,12,0,0,0
ENSG00000249454,0,0,0,0
ENSG00000145649,3,0,7,0
ENSG00000164287,25,17,37,17
ENSG00000164294,52,55,32,24
ENSG00000198983,0,0,0,3
ENSG00000207728,0,0,0,6
ENSG00000251856,0,0,0,0
ENSG00000234602,38,47,126,50
ENSG00000152669,154,173,116,65
ENSG00000251307,75,111,104,37
ENSG00000067248,4165,4713,4640,2208
ENSG00000039123,9975,10581,10877,5527
ENSG00000271410,9,0,20,0
ENSG00000067113,488,561,534,426
ENSG00000279883,4,0,0,2
ENSG00000265135,2,0,0,0
ENSG00000250853,4,10,16,6
ENSG00000249410,0,0,2,0
ENSG00000177058,1175,1311,1272,829
ENSG00000152670,12,7,6,25
ENSG00000251368,3,4,6,0
ENSG00000199322,0,0,0,0
ENSG00000248854,2,0,9,2
ENSG00000164509,19,9,22,12
ENSG00000134352,3547,4181,3429,2293
ENSG00000262211,423,569,456,313
ENSG00000264281,7,12,15,34
ENSG00000249236,55,30,42,38
ENSG00000227908,40,15,37,46
ENSG00000238326,2,5,2,8
ENSG00000164512,187,191,258,190
ENSG00000253032,0,3,0,0
ENSG00000243592,11,3,7,5
ENSG00000223003,0,0,0,0
ENSG00000251435,0,1,12,0
ENSG00000212265,3,0,3,0
ENSG00000248781,2,5,2,0
ENSG00000210678,0,0,0,0
ENSG00000249697,0,0,2,0
ENSG00000250787,0,2,0,0
ENSG00000248727,2,2,2,0
ENSG00000226221,158,241,213,124
ENSG00000225940,1,0,0,13
ENSG00000234553,5,0,2,0
ENSG00000228650,2,0,6,0
ENSG00000095015,2231,2585,2168,1174
ENSG00000237705,107,118,91,50
ENSG00000225230,79,64,55,20
ENSG00000155542,449,293,371,337
ENSG00000155545,1972,2109,2067,930
ENSG00000271828,78,91,137,67
ENSG00000235635,58,29,86,12
ENSG00000233943,0,0,0,0
ENSG00000248652,0,0,3,0
ENSG00000250480,0,0,6,6
ENSG00000207293,2,1,0,0
ENSG00000062194,7155,8230,7808,4340
ENSG00000248586,8,6,4,10
ENSG00000250961,0,7,0,0
ENSG00000250308,2,2,2,5
ENSG00000169067,8,8,2,0
ENSG00000248294,0,0,0,0
ENSG00000249436,0,0,2,0
ENSG00000249198,2,1,0,0
ENSG00000249584,15,6,30,6
ENSG00000248132,4,0,0,0
ENSG00000248271,0,0,2,0
ENSG00000145632,11,5,27,0
ENSG00000175857,3,0,0,0
ENSG00000271257,1,3,0,0
ENSG00000265699,0,0,0,0
ENSG00000250127,5,0,1,0
ENSG00000152932,4,7,1,0
ENSG00000248475,6,5,0,0
ENSG00000240412,0,0,0,0
ENSG00000248733,0,6,0,5
ENSG00000113448,42,28,45,109
ENSG00000247345,13,16,10,14
ENSG00000276214,0,0,0,0
ENSG00000251306,0,0,0,0
ENSG00000202601,2,0,0,0
ENSG00000248935,0,0,0,0
ENSG00000202017,0,0,0,0
ENSG00000213896,4,10,1,6
ENSG00000214244,8,2,4,20
ENSG00000273701,0,0,4,0
ENSG00000152931,24,19,55,3
ENSG00000275634,0,0,0,0
ENSG00000276233,0,0,0,0
ENSG00000035499,1917,2129,3094,1593
ENSG00000251303,3,5,2,15
ENSG00000250148,2,0,16,0
ENSG00000164181,929,980,874,421
ENSG00000272308,16,38,20,29
ENSG00000049167,811,840,790,639
ENSG00000215032,150,90,128,93
ENSG00000233847,113,116,97,60
ENSG00000164182,877,726,988,738
ENSG00000279985,6,0,14,20
ENSG00000276945,8,2,4,4
ENSG00000188725,4182,4688,4598,3059
ENSG00000251279,723,736,890,342
ENSG00000249279,14,0,0,0
ENSG00000130449,473,619,537,302
ENSG00000251682,0,0,0,2
ENSG00000250461,26,17,42,22
ENSG00000213891,4,5,13,14
ENSG00000178722,22,3,8,44
ENSG00000248529,6,8,10,0
ENSG00000212215,0,0,2,0
ENSG00000251575,0,0,0,0
ENSG00000249878,0,0,0,0
ENSG00000248199,3,0,0,0
ENSG00000251983,1,0,0,0
ENSG00000068796,5463,6557,6637,3563
ENSG00000086189,3869,4098,4311,2891
ENSG00000086200,4360,4659,4718,2793
ENSG00000199279,0,0,0,8
ENSG00000268942,10,14,17,19
ENSG00000241991,0,1,5,0
ENSG00000240436,0,0,0,0
ENSG00000186105,22,15,16,22
ENSG00000217416,2,12,2,29
ENSG00000249579,0,1,0,0
ENSG00000248185,3,4,2,0
ENSG00000248285,1,0,0,0
ENSG00000178394,0,0,4,0
ENSG00000164197,20,0,0,24
ENSG00000236068,6,2,1,8
ENSG00000186479,8,23,11,34
ENSG00000242547,2,0,1,0
ENSG00000201869,0,0,0,0
ENSG00000224296,0,6,2,0
ENSG00000145642,0,2,0,0
ENSG00000153006,2896,3399,3245,2041
ENSG00000153015,2022,2295,2357,1566
ENSG00000272370,26,21,12,6
ENSG00000272354,4,2,2,0
ENSG00000207439,0,0,0,0
ENSG00000049192,235,308,289,219
ENSG00000248288,5,10,5,16
ENSG00000250732,3,1,0,3
ENSG00000205644,4,0,12,0
ENSG00000250081,9,15,28,14
ENSG00000123219,1337,1474,1860,1080
ENSG00000113593,2807,2686,2949,1759
ENSG00000113595,728,722,715,291
ENSG00000207352,2,0,1,0
ENSG00000113597,1372,1547,1590,903
ENSG00000253251,400,350,390,282
ENSG00000197860,1302,1293,1385,638
ENSG00000123213,2635,2826,2899,1992
ENSG00000251648,2,4,2,0
ENSG00000269961,15,8,17,3
ENSG00000112851,6453,7694,7446,3669
ENSG00000252904,1,0,0,0
ENSG00000153914,5522,7196,6004,5203
ENSG00000253744,305,347,316,276
ENSG00000248846,0,0,3,3
ENSG00000251391,3,1,0,1
ENSG00000250313,0,0,0,0
ENSG00000234838,4,8,14,0
ENSG00000069020,1302,1577,1973,1266
ENSG00000248803,1,8,8,0
ENSG00000249057,3,0,0,0
ENSG00000229666,68,68,87,42
ENSG00000134061,8,4,4,2
ENSG00000251206,2,0,2,0
ENSG00000249364,11,6,2,11
ENSG00000250978,2,1,0,6
ENSG00000239870,0,0,0,8
ENSG00000249736,0,0,4,1
ENSG00000249238,8,6,1,39
ENSG00000250669,2,0,3,1
ENSG00000249721,3,2,16,0
ENSG00000250421,8,2,14,16
ENSG00000249894,7,3,13,5
ENSG00000273860,6,8,1,0
ENSG00000253801,2,0,0,0
ENSG00000252108,0,0,0,0
ENSG00000213864,16,4,8,2
ENSG00000253787,13,1,9,11
ENSG00000145675,887,1052,930,488
ENSG00000251044,8,1,0,0
ENSG00000248884,6,4,6,0
ENSG00000249588,1,3,1,14
ENSG00000248359,0,2,0,6
ENSG00000249335,7,0,1,0
ENSG00000250289,0,0,2,0
ENSG00000212249,0,0,0,2
ENSG00000250066,0,0,0,1
ENSG00000276309,0,2,0,8
ENSG00000249352,2,1,2,19
ENSG00000250237,0,2,2,17
ENSG00000249183,1,0,6,0
ENSG00000145740,5182,5865,5755,3713
ENSG00000248664,889,1105,906,615
ENSG00000220986,0,0,0,3
ENSG00000280894,0,0,0,2
ENSG00000134057,9454,9408,12146,6141
ENSG00000280187,224,344,282,196
ENSG00000153044,2870,3082,3855,2316
ENSG00000134056,1436,1243,1631,938
ENSG00000134058,1863,1489,2052,1208
ENSG00000183323,1062,1189,1469,891
ENSG00000213830,16,14,9,28
ENSG00000215006,8,18,22,19
ENSG00000271045,6,4,2,18
ENSG00000085231,2920,2840,3183,2431
ENSG00000273841,4177,4219,4640,2918
ENSG00000152942,2859,3261,3490,1961
ENSG00000152939,46,33,75,50
ENSG00000244717,0,0,8,0
ENSG00000249295,2,1,0,0
ENSG00000266477,2,0,12,43
ENSG00000197822,6,11,6,23
ENSG00000212260,2,1,3,0
ENSG00000183474,928,1037,1015,644
ENSG00000248477,15,4,0,8
ENSG00000250138,20,16,102,0
ENSG00000253203,1,0,7,4
ENSG00000248769,0,0,0,0
ENSG00000198237,22,68,26,8
ENSG00000251158,0,0,4,0
ENSG00000249230,0,0,0,0
ENSG00000205572,38,27,47,42
ENSG00000205571,148,203,147,146
ENSG00000285151,0,0,0,0
ENSG00000179978,56,78,114,94
ENSG00000253492,0,0,0,0
ENSG00000254701,134,176,193,110
ENSG00000253816,153,193,235,122
ENSG00000226259,229,257,222,121
ENSG00000269983,8,14,16,1
ENSG00000250687,1,4,2,0
ENSG00000253333,1,0,0,0
ENSG00000196302,1,3,2,0
ENSG00000253366,1,0,8,3
ENSG00000254335,0,0,0,0
ENSG00000172058,5,10,12,10
ENSG00000172062,520,581,534,436
ENSG00000285204,0,0,0,0
ENSG00000249437,24,37,12,28
ENSG00000145736,749,817,782,504
ENSG00000230847,0,0,0,0
ENSG00000251634,23,40,22,36
ENSG00000253900,0,0,0,0
ENSG00000215630,77,91,90,54
ENSG00000235558,57,54,57,48
ENSG00000250387,2,0,2,0
ENSG00000253985,4,0,0,0
ENSG00000169040,2,11,4,0
ENSG00000249981,2,0,1,0
ENSG00000145734,3948,4788,4369,2491
ENSG00000253536,0,1,5,0
ENSG00000247911,1,6,6,0
ENSG00000131844,4326,4797,5324,2675
ENSG00000164326,1,0,12,0
ENSG00000278824,3,0,0,0
ENSG00000131711,6851,7659,9018,7594
ENSG00000264099,0,0,0,0
ENSG00000113048,5569,5492,6443,4572
ENSG00000244748,2,2,1,18
ENSG00000049883,1115,1395,1409,1255
ENSG00000244061,2,0,0,0
ENSG00000251108,0,0,2,0
ENSG00000261269,6,8,22,0
ENSG00000178175,24,10,14,0
ENSG00000248371,0,0,0,0
ENSG00000251613,10,4,5,0
ENSG00000226544,2,1,4,6
ENSG00000223497,0,0,0,1
ENSG00000206770,0,0,0,0
ENSG00000249085,1,0,2,0
ENSG00000083312,10173,12550,11680,5997
ENSG00000263593,0,0,0,0
ENSG00000242602,2,4,6,0
ENSG00000271926,2,0,8,0
ENSG00000272081,7,9,24,36
ENSG00000157107,1388,1750,1920,761
ENSG00000251467,2,11,9,8
ENSG00000248930,6,2,3,16
ENSG00000157111,2,0,2,8
ENSG00000251599,2,0,0,0
ENSG00000250747,0,0,0,0
ENSG00000164325,4,6,4,42
ENSG00000249743,14,1,4,0
ENSG00000251543,0,0,7,0
ENSG00000249149,3,0,7,1
ENSG00000251493,69,56,58,28
ENSG00000247993,17,9,14,10
ENSG00000251604,0,1,4,0
ENSG00000251324,0,0,0,0
ENSG00000272525,72,40,22,4
ENSG00000145741,21868,21072,26386,17658
ENSG00000255883,13,23,31,14
ENSG00000164331,608,727,649,370
ENSG00000164338,2070,2027,1873,1340
ENSG00000214944,38,18,50,3
ENSG00000249293,5,2,2,10
ENSG00000184084,0,0,0,2
ENSG00000238913,0,2,0,0
ENSG00000259968,0,0,0,0
ENSG00000248474,1,0,0,3
ENSG00000248942,0,0,0,0
ENSG00000244326,0,6,4,0
ENSG00000251041,5,4,7,0
ENSG00000249343,6,12,0,0
ENSG00000250446,5,0,0,0
ENSG00000248673,0,2,0,0
ENSG00000171617,721,675,580,486
ENSG00000049860,6707,6828,7802,5061
ENSG00000164347,3674,4140,3694,2122
ENSG00000207336,1,0,0,4
ENSG00000164346,4144,3859,4136,2413
ENSG00000198780,16,35,27,13
ENSG00000199645,1,0,1,0
ENSG00000250071,6,0,3,4
ENSG00000271714,2,2,2,6
ENSG00000212363,0,0,0,0
ENSG00000249856,8,4,6,2
ENSG00000196390,2,2,2,4
ENSG00000239517,0,0,0,0
ENSG00000182383,4,5,21,27
ENSG00000249157,4,0,0,0
ENSG00000176928,18,14,10,0
ENSG00000250889,0,2,1,1
ENSG00000145700,24,40,17,52
ENSG00000251663,0,0,0,0
ENSG00000247372,4,2,4,0
ENSG00000113161,8185,9073,9437,6281
ENSG00000113163,4464,5137,4569,2397
ENSG00000271815,11,16,1,42
ENSG00000242198,8,11,9,4
ENSG00000122008,1983,2079,2101,1098
ENSG00000251724,0,0,2,8
ENSG00000248881,302,338,214,133
ENSG00000272040,38,40,27,26
ENSG00000189045,24,6,19,12
ENSG00000152359,1289,1229,1244,859
ENSG00000207333,0,2,1,0
ENSG00000251078,2,0,0,6
ENSG00000251419,0,0,6,2
ENSG00000249301,0,0,0,0
ENSG00000248684,0,0,4,0
ENSG00000228367,0,0,8,0
ENSG00000249777,0,0,0,0
ENSG00000251342,0,0,0,0
ENSG00000248127,0,2,0,0
ENSG00000122012,38,20,66,76
ENSG00000252833,3,0,0,4
ENSG00000251668,0,0,0,0
ENSG00000254893,46,77,96,26
ENSG00000249014,38,72,111,52
ENSG00000251107,2,2,0,0
ENSG00000250348,0,1,0,0
ENSG00000251235,6,7,29,7
ENSG00000145703,3725,4027,4356,2369
ENSG00000250574,14,2,20,6
ENSG00000249713,1,4,5,10
ENSG00000164220,16,2,12,2
ENSG00000225407,90,71,102,25
ENSG00000277188,0,0,0,0
ENSG00000278237,0,0,0,6
ENSG00000181104,1690,1861,2483,1327
ENSG00000164251,12,30,46,8
ENSG00000264391,2,4,14,0
ENSG00000171643,12,8,12,9
ENSG00000252684,0,0,0,0
ENSG00000145708,10,4,4,21
ENSG00000164252,2873,3215,3025,1489
ENSG00000285000,1637,1784,1660,734
ENSG00000132846,34,5,8,10
ENSG00000250615,0,2,0,0
ENSG00000238961,0,0,0,0
ENSG00000250802,58,58,66,118
ENSG00000284762,66,36,56,41
ENSG00000251566,13,1,0,0
ENSG00000113231,148,97,110,150
ENSG00000251400,4,0,5,0
ENSG00000164253,2682,2913,3109,1586
ENSG00000244019,9,0,46,22
ENSG00000244363,38,50,81,67
ENSG00000171540,21,16,14,2
ENSG00000171530,4711,4161,5478,3630
ENSG00000213763,35,50,98,37
ENSG00000253572,1,1,0,30
ENSG00000132842,5731,6169,6120,3337
ENSG00000253558,31,8,12,4
ENSG00000249372,0,4,2,0
ENSG00000251605,6,0,2,0
ENSG00000200331,0,2,0,4
ENSG00000206714,0,1,0,4
ENSG00000245556,532,487,526,337
ENSG00000085365,1793,2075,2113,1032
ENSG00000145685,365,402,565,211
ENSG00000248909,0,0,0,0
ENSG00000254170,2,9,10,4
ENSG00000254310,2,0,10,1
ENSG00000113273,709,902,854,471
ENSG00000132837,54,39,15,50
ENSG00000214890,6,0,0,4
ENSG00000132840,27,9,1,4
ENSG00000145692,23,29,10,47
ENSG00000201955,0,0,2,0
ENSG00000249829,6,0,3,0
ENSG00000206592,3,1,0,0
ENSG00000250330,2,4,10,1
ENSG00000152409,1228,1599,1065,770
ENSG00000213757,31,32,78,68
ENSG00000152413,1893,2158,1964,1136
ENSG00000213755,0,0,0,3
ENSG00000243160,8,5,9,10
ENSG00000207391,0,0,0,0
ENSG00000277818,0,0,4,0
ENSG00000164329,4056,4372,4308,2578
ENSG00000164309,69,132,102,46
ENSG00000250258,7,2,0,1
ENSG00000238254,1,0,0,18
ENSG00000250888,2,1,2,4
ENSG00000177034,34,77,28,58
ENSG00000113296,21,10,15,17
ENSG00000251050,10,9,3,0
ENSG00000249778,0,0,0,0
ENSG00000249825,16,5,14,18
ENSG00000164300,1189,1246,1435,917
ENSG00000251675,45,45,159,38
ENSG00000249438,2,7,15,13
ENSG00000184188,8,1,4,28
ENSG00000251828,0,0,0,0
ENSG00000244076,0,0,0,0
ENSG00000164299,4,4,18,22
ENSG00000227087,14,27,18,16
ENSG00000248569,12,26,22,13
ENSG00000220157,11,34,55,30
ENSG00000206774,7,0,0,0
ENSG00000039319,2385,2875,2606,1160
ENSG00000249042,18,8,15,17
ENSG00000152380,16,14,16,0
ENSG00000242706,1,0,5,6
ENSG00000240003,1,1,3,9
ENSG00000189127,9,0,7,10
ENSG00000251366,0,0,0,0
ENSG00000251221,7,22,5,1
ENSG00000228716,5459,6426,7395,4460
ENSG00000249655,17,3,17,16
ENSG00000271043,0,2,0,1
ENSG00000113318,2057,2129,2507,1231
ENSG00000248967,0,0,2,0
ENSG00000244630,6,4,8,0
ENSG00000251450,0,0,4,0
ENSG00000113319,62,45,52,64
ENSG00000251001,0,0,0,0
ENSG00000249772,13,7,0,26
ENSG00000247572,281,340,330,204
ENSG00000131730,40,21,52,27
ENSG00000248794,4,3,1,0
ENSG00000131732,2492,2554,2707,1974
ENSG00000172497,4,4,2,5
ENSG00000145687,2579,2979,2941,2044
ENSG00000249483,0,1,6,0
ENSG00000214857,0,4,4,0
ENSG00000152348,28973,24298,39093,24500
ENSG00000236447,0,14,15,0
ENSG00000251495,7,18,59,32
ENSG00000248192,2,0,0,0
ENSG00000265684,0,1,0,0
ENSG00000251374,4,4,0,0
ENSG00000186468,43179,34968,58965,37283
ENSG00000205464,354,402,483,310
ENSG00000248393,6,4,0,0
ENSG00000248870,2,0,2,16
ENSG00000249100,0,2,1,2
ENSG00000240411,0,0,0,0
ENSG00000248105,0,0,0,0
ENSG00000283359,0,0,0,0
ENSG00000281327,0,0,6,0
ENSG00000248112,2,0,0,0
ENSG00000249857,2,3,0,0
ENSG00000248400,4,4,27,14
ENSG00000249664,3,5,1,0
ENSG00000271862,76,24,29,30
ENSG00000174695,7166,7791,7462,4529
ENSG00000238835,0,0,0,0
ENSG00000152422,670,721,743,394
ENSG00000243385,0,1,0,1
ENSG00000251552,0,0,3,0
ENSG00000251395,0,0,0,0
ENSG00000038427,30,23,26,10
ENSG00000249835,6,2,2,0
ENSG00000145681,7,10,37,0
ENSG00000253073,1,0,0,0
ENSG00000206744,0,2,0,0
ENSG00000242858,2,12,26,6
ENSG00000202157,0,0,0,0
ENSG00000250013,0,0,0,0
ENSG00000164176,15,10,11,0
ENSG00000252861,0,0,0,0
ENSG00000250320,1,6,4,12
ENSG00000214853,0,0,0,0
ENSG00000249349,2,0,0,0
ENSG00000248674,12,2,0,0
ENSG00000250253,1,1,0,0
ENSG00000249792,0,8,0,0
ENSG00000248170,0,0,0,0
ENSG00000248667,0,0,0,0
ENSG00000249023,0,0,1,0
ENSG00000249842,0,7,0,6
ENSG00000243859,8,28,16,30
ENSG00000251066,2,11,11,10
ENSG00000250874,26,46,33,18
ENSG00000241965,0,10,2,10
ENSG00000249153,1,0,0,0
ENSG00000250359,0,0,0,0
ENSG00000205449,0,0,6,0
ENSG00000280009,0,4,0,0
ENSG00000248195,0,0,0,0
ENSG00000248363,22,21,39,8
ENSG00000250124,0,0,0,0
ENSG00000251585,2,6,5,26
ENSG00000127184,10094,8052,12952,7634
ENSG00000284078,1,18,1,15
ENSG00000207013,1,0,0,0
ENSG00000250544,0,0,18,0
ENSG00000248701,0,0,0,0
ENSG00000242477,11,9,25,14
ENSG00000249061,2,5,0,4
ENSG00000251951,0,0,0,0
ENSG00000265919,0,0,0,0
ENSG00000233828,7,0,2,11
ENSG00000145715,1938,2050,2406,1383
ENSG00000241243,4,4,9,0
ENSG00000207452,0,1,0,0
ENSG00000134480,2385,2427,2921,1924
ENSG00000285190,509,432,615,317
ENSG00000200462,0,0,0,0
ENSG00000249362,1,0,0,7
ENSG00000248708,3,0,0,0
ENSG00000164180,1774,2122,1920,1669
ENSG00000247828,581,704,754,624
ENSG00000207129,14,3,5,0
ENSG00000240083,2,0,3,0
ENSG00000206958,0,0,0,0
ENSG00000250306,0,0,4,0
ENSG00000250156,1,3,7,0
ENSG00000271904,3,0,4,0
ENSG00000245526,18,4,17,0
ENSG00000250705,0,0,2,0
ENSG00000284447,4,0,0,0
ENSG00000245864,123,119,234,96
ENSG00000250377,0,0,0,0
ENSG00000250555,0,0,0,0
ENSG00000081189,2186,2141,3594,1793
ENSG00000248309,111,81,171,142
ENSG00000250831,2,3,5,0
ENSG00000250437,0,0,0,14
ENSG00000214942,10,0,1,0
ENSG00000249265,0,0,0,0
ENSG00000264342,0,1,4,0
ENSG00000248555,1,3,9,13
ENSG00000253321,4,1,1,8
ENSG00000260871,0,0,9,0
ENSG00000153140,1380,1196,1769,877
ENSG00000255647,10,8,7,18
ENSG00000176055,991,1179,1423,740
ENSG00000113356,1083,1194,1016,800
ENSG00000176018,3099,3748,3532,2102
ENSG00000164199,1895,2228,2828,1507
ENSG00000249514,2,1,6,16
ENSG00000212930,0,0,0,0
ENSG00000251093,0,0,0,0
ENSG00000199643,2,0,0,19
ENSG00000234292,0,8,2,0
ENSG00000248323,20,24,18,21
ENSG00000271762,2,3,12,14
ENSG00000277001,4,1,6,15
ENSG00000240388,14,10,16,2
ENSG00000241059,5,1,0,0
ENSG00000113369,2932,3500,2627,1677
ENSG00000281357,66,86,85,56
ENSG00000251356,4,0,0,0
ENSG00000248826,0,0,9,0
ENSG00000276426,0,0,2,0
ENSG00000250049,7,10,0,18
ENSG00000248864,0,0,0,0
ENSG00000249776,3,3,0,0
ENSG00000249169,0,0,0,0
ENSG00000249984,0,0,0,0
ENSG00000248588,0,0,0,0
ENSG00000248950,0,0,0,0
ENSG00000249958,8,12,4,8
ENSG00000248528,8,0,0,0
ENSG00000251361,1,0,0,14
ENSG00000213730,0,4,21,5
ENSG00000237187,26,2,10,2
ENSG00000175745,16,8,9,0
ENSG00000278905,4,0,0,0
ENSG00000113391,602,728,717,377
ENSG00000284336,24,40,55,17
ENSG00000249353,554,852,970,717
ENSG00000248483,30,6,38,34
ENSG00000272406,2,0,0,0
ENSG00000251023,12,17,18,6
ENSG00000185261,40,41,31,6
ENSG00000251544,4,5,4,13
ENSG00000254132,5,3,4,1
ENSG00000251340,0,2,2,0
ENSG00000232578,2,0,9,8
ENSG00000270133,4,1,3,3
ENSG00000133302,1169,1309,1250,833
ENSG00000175471,95,48,96,75
ENSG00000249175,0,0,10,3
ENSG00000243806,2,4,0,2
ENSG00000276514,0,0,0,0
ENSG00000249545,4,4,6,14
ENSG00000153347,12,23,36,5
ENSG00000225165,0,0,0,0
ENSG00000198677,7192,8369,8535,4031
ENSG00000212259,0,0,0,10
ENSG00000164291,647,835,727,416
ENSG00000178015,0,0,0,0
ENSG00000175449,2468,2793,2791,2368
ENSG00000145757,1227,1391,1447,1143
ENSG00000250240,919,1030,1202,528
ENSG00000164292,13878,15858,17101,8482
ENSG00000173221,242,293,202,288
ENSG00000251348,18,22,32,26
ENSG00000251000,0,2,11,4
ENSG00000251409,0,2,0,0
ENSG00000272021,4,2,0,8
ENSG00000236882,5,13,20,4
ENSG00000250362,0,0,8,2
ENSG00000118985,2212,2645,2365,1417
ENSG00000251314,7,0,5,12
ENSG00000250955,0,0,3,0
ENSG00000213716,0,0,6,0
ENSG00000250551,8,3,3,0
ENSG00000207578,2,0,0,0
ENSG00000206997,0,1,0,0
